filename,person_id,life_line,heart_line,head_line,fate_line,tinh_duyen,cong_viec,suc_khoe,tai_chinh,tuong_lai,kiep_truoc,kiep_sau,fortune_class
158_IMG__(1).JPG,158,2,0,0,0,1,0,2,1,0,0,0,2
158_IMG__(2).JPG,158,2,0,0,0,1,0,2,1,0,0,0,2
158_IMG__(3).JPG,158,2,0,0,0,1,0,2,1,0,0,0,2
163_IMG__(1).JPG,163,1,1,2,1,0,1,0,0,2,1,2,0
163_IMG__(2).JPG,163,1,1,2,1,0,1,0,0,2,1,2,0
163_IMG__(3).JPG,163,1,1,2,1,0,1,0,0,2,1,2,0
165_IMG__(1).JPG,165,0,2,1,2,2,2,1,2,1,2,1,1
165_IMG__(2).JPG,165,0,2,1,2,2,2,1,2,1,2,1,1
165_IMG__(3).JPG,165,0,2,1,2,2,2,1,2,1,2,1,1
167_IMG__(1).JPG,167,2,0,0,0,1,0,2,1,0,0,0,2
167_IMG__(2).JPG,167,2,0,0,0,1,0,2,1,0,0,0,2
167_IMG__(3).JPG,167,2,0,0,0,1,0,2,1,0,0,0,2
